J,tN,N,nS,Phi,Bmax,lam,kappa,opt_time,opt_calls,status
,,,,,,,,,,
,,,,,,,,,,
2.4999999999999996,1500,3500,1,33.5,0.51,0e+00,1e+02,43,77, C
2.4999999999999996,1500,2500,1,99.0,0.35,0e+00,1e+02,11,28, SF
9.999999999999998,1000,2500,1,99.1,5.14,0e+00,1e+02,20,49, SF
10.999999999999998,1000,2500,1,23.1,0.71,0e+00,1e+02,23,56, C
12.0,1000,2500,1,1.2,2.84,0e+00,1e+02,28,70, C
19.999999999999996,500,1000,1,68.2,0.11,0e+00,1e+00,21,129, C
19.999999999999996,500,1000,1,99.2,0.17,0e+00,1e+00,19,119, SF
29.999999999999996,500,1000,1,99.5,0.24,0e+00,1e+00,15,94, SF
39.99999999999999,500,1000,1,99.2,0.20,0e+00,1e+00,18,111, SF
49.99999999999999,500,1000,1,38.2,0.16,0e+00,1e+00,17,104, C
59.99999999999999,500,1000,1,99.2,0.29,0e+00,1e+00,17,106, SF
70.0,500,1000,1,99.2,0.29,0e+00,1e+00,18,110, SF
79.99999999999999,500,1000,1,99.3,0.26,0e+00,1e+00,21,128, SF
90.0,500,1000,1,99.1,0.46,0e+00,1e+00,17,107, SF
99.99999999999999,500,1000,1,99.4,0.40,0e+00,1e+00,47,291, SF
199.99999999999997,500,1000,1,25.2,0.07,0e+00,1e+00,16,94, C
199.99999999999997,500,2000,1,3.9,0.05,0e+00,1e+02,12,39, C
300.0,500,2000,1,12.0,2.63,0e+00,1e+02,20,64, C
199.99999999999997,400,2000,1,2.3,43.30,0e+00,1e+02,23,71, C
199.99999999999997,800,2500,1,99.0,0.33,0e+00,1e+02,42,106, SF
300.0,800,2500,1,71.5,1.39,0e+00,1e+02,52,131, C
399.99999999999994,800,2500,1,42.5,0.17,0e+00,1e+02,37,93, C
499.99999999999994,800,2500,1,38.7,0.17,0e+00,1e+02,32,80, C
600.0,800,2500,1,45.3,0.94,0e+00,1e+02,43,106, C
700.0,800,2500,1,46.0,0.13,0e+00,1e+02,35,86, C
799.9999999999999,800,2500,1,18.3,0.03,0e+00,1e+02,16,40, C
900.0,800,2500,1,21.3,1.34,0e+00,1e+02,55,136, C